Ticker,Security Name,Company Name,Trading Status,Exchanges,Most Recent Trade Price ($USD Historical rate),Equity Security Type,CIK,Industry Classifications,% Change - Dividend Adj. Day Close Price [03/01/2006-03/01/2007],% Change - Dividend Adj. Day Close Price [03/01/2007-03/01/2008],% Change - Dividend Adj. Day Close Price [03/01/2008-03/01/2009],% Change - Dividend Adj. Day Close Price [03/01/2009-03/01/2010],% Change - Dividend Adj. Day Close Price [03/01/2010-03/01/2011],% Change - Dividend Adj. Day Close Price [03/01/2011-03/01/2012],% Change - Dividend Adj. Day Close Price [03/01/2012-03/01/2013],% Change - Dividend Adj. Day Close Price [03/01/2013-03/01/2014],% Change - Dividend Adj. Day Close Price [03/01/2014-03/01/2015],% Change - Dividend Adj. Day Close Price [03/01/2015-03/01/2016],% Change - Dividend Adj. Day Close Price [03/01/2016-03/01/2017],% Change - Dividend Adj. Day Close Price [03/01/2017-03/01/2018],% Change - Dividend Adj. Day Close Price [03/01/2018-03/01/2019],% Change - Dividend Adj. Day Close Price [03/01/2019-03/01/2020],% Change - Dividend Adj. Day Close Price [03/01/2020-03/01/2021]
NasdaqGS:WNEB,Common Stock,Western New England Bancorp Inc.,Active,Nasdaq Global Select (NasdaqGS), 7.87 ,Common Stock,0001157647,Banks (Primary); Financials (Primary); Savings Institutions (Primary); Savings Institutions Federally Chartered (Primary); Thrifts and Mortgage Finance (Primary); Thrifts and Mortgage Finance (Primary); Asset Management and Custody Banks; Capital Markets; Diversified Financial Services; Diversified Financials; Holding Companies; Investment Services and Holding Companies; Multi-Sector Holdings; Offices Of Bank Holding Companies,44.10,-1.32,0.17,-6.18,14.50,-6.20,5.39,1.39,-2.33,19.60,22.20,-0.68,-0.05,-8.58,-3.99
NYSE:NPK,Common Stock,National Presto Industries Inc.,Active,New York Stock Exchange (NYSE), 105.1 ,Common Stock,0000080172,Aerospace and Defense (Primary); Aerospace and Defense (Primary); Capital Goods (Primary); Industrials (Primary); Light Weapons and Ammunition (Primary); Bakeware; Climate Control Equipment; Coffee Makers; Consumer Discretionary; Consumer Durables and Apparel; Consumer Electronics; Cooking Equipment; Cookware; Deep Fryers; Electronic Equipment and Instruments; Electronic Equipment Instruments and Components; Fire Extinguishers; Fire Fighting and Protection Equipment; Heaters; Household Appliances; Household Durables; Housewares and Specialties; Information Technology; Kitchen Appliances; Kitchen Housewares; Kitchen Utensils; Microwaves; Ovens; Security and Alarm Systems; Security Control Surveillance and Detection Equipment; Small Kitchen Appliances; Tea Kettles; Technology Hardware and Equipment,44.10,-11.80,36.60,112.80,4.28,-24.10,-1.16,8.29,-16.20,43.80,28.30,-3.45,29.60,-24.60,36.80
NYSE:DRH,Common Shares,DiamondRock Hospitality Company,Active,New York Stock Exchange (NYSE), 10.1 ,Common Stock,0001298946,Equity Real Estate Investment Trusts (REITs) (Primary); Hotel and Resort REITs (Primary); Real Estate (Primary); Real Estate (Primary),44.00,-25.90,-73.50,182.60,37.10,-11.50,-4.23,43.00,18.40,-33.20,26.20,-4.62,10.40,-10.20,6.69
NYSE:DRH.PRA,8.25 SR A PFD SH,DiamondRock Hospitality Company,Active,New York Stock Exchange (NYSE), 28.48 ,Preferred Stock,0001298946,Equity Real Estate Investment Trusts (REITs) (Primary); Hotel and Resort REITs (Primary); Real Estate (Primary); Real Estate (Primary),44.00,-25.90,-73.50,182.60,37.10,-11.50,-4.23,43.00,18.40,-33.20,26.20,-4.62,10.40,-10.20,6.69
NasdaqGM:ALOT,Common Stock,AstroNova Inc.,Active,Nasdaq Global Market (NasdaqGM), 17.87 ,Common Stock,0000008146; 0000717836,Information Technology (Primary); Printers (Primary); Technology Hardware and Equipment (Primary); Technology Hardware Storage and Peripherals (Primary); Technology Hardware Storage and Peripherals (Primary); Aerospace and Defense; Aerospace and Defense; Application Software; Capital Goods; Commercial and Professional Services; Commercial Services and Supplies; Defense Electronics; Electronic Components; Electronic Components; Electronic Equipment Instruments and Components; Industrials; Office and Home Productivity Software; Office Products; Office Services and Supplies; Printer Facsimile and Photocopier Supplies; Software; Software and Services,43.90,-12.60,-47.80,56.80,7.21,9.47,28.60,39.40,7.97,-3.22,0.79,0.51,45.80,-42.30,5.01
NasdaqGS:UEIC,Common Stock,Universal Electronics Inc.,Active,Nasdaq Global Select (NasdaqGS), 55.41 ,Common Stock,0000101984,Consumer Discretionary (Primary); Consumer Durables and Apparel (Primary); Consumer Electronics (Primary); Consumer Electronics Accessories (Primary); Household Durables (Primary); Application Software; Databases; Digital; Diversified Financial Services; Diversified Financials; Electronic Components; Electronic Components; Electronic Equipment Instruments and Components; Enterprise Data Management; Enterprise Software; Financials; Information Technology; Investment Services and Holding Companies; Microcontroller; Multi-Sector Holdings; Office and Home Productivity Software; Patent Owners and Lessors; Semiconductors; Semiconductors and Semiconductor Equipment; Semiconductors and Semiconductor Equipment; Software; Software and Services; Systems Software; Technology Hardware and Equipment,43.80,-12.50,-31.40,50.60,15.30,-29.30,4.55,109.20,35.20,-4.25,25.90,-27.50,-31.30,24.60,43.50
NasdaqGS:SGEN,Common Shares,Seagen Inc.,Active,Nasdaq Global Select (NasdaqGS), 147.23 ,Common Stock,0001060736,Biotechnology (Primary); Biotechnology (Primary); Health Care (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Oncology Drugs; Pharmaceutical Products; Pharmaceuticals; Pharmaceuticals,43.50,17.50,-10.70,34.10,36.90,23.60,55.50,85.60,-31.10,-11.90,115.70,-24.10,42.90,52.50,34.00
NYSE:RL,Class A Common Stock,Ralph Lauren Corporation,Active,New York Stock Exchange (NYSE), 125.48 ,Common Stock,0001037038,Accessories (Primary); Apparel (Primary); Apparel Accessories and Luxury Goods (Primary); Belts and Suspenders (Primary); Boys' Apparel (Primary); Consumer Discretionary (Primary); Consumer Durables and Apparel (Primary); Fine Jewelry (Primary); Girls' Apparel (Primary); Gloves (Primary); Hats Caps and Millinery (Primary); Jewelry (Primary); Jewelry Timepieces and Gemstone Products (Primary); Leather Belts (Primary); Luggage (Primary); Luggage and Handbags (Primary); Men's Apparel (Primary); Purses Handbags and Bags (Primary); Scarves (Primary); Textiles Apparel and Luxury Goods (Primary); Timepieces (Primary); Umbrellas and Waterproof Accessories (Primary); Watches (Primary); Women's Handbags and Purses (Primary); Women's Misses' and Juniors' Apparel (Primary); Apparel Retail; Beauty Care Products; Cafeterias; Consumer Services; Consumer Staples; Diversified Financial Services; Diversified Financials; Financials; Footwear; Home Furnishings; Homefurnishing Retail; Hotels Restaurants and Leisure; Household and Personal Products; Household Durables; Internet and Direct Marketing Retail; Internet and Direct Marketing Retail; Investment Services and Holding Companies; Limited Service Restaurants; Multi-Sector Holdings; Online Accessory Retail; Online Apparel and Accessory Retail; Online Apparel Retail; Online Home Furnishing Retail; Online Jewelry Retail; Online Luggage and Leather Goods Retail; Online Personal Care Product Retail; Online Shoe Retail; Online Specialty Retail; Patent Owners and Lessors; Perfumes and Colognes; Personal Products; Personal Products; Restaurants; Retailing; Specialty Retail,43.50,-26.40,-44.40,135.30,54.40,44.20,-1.19,-6.61,-13.80,-30.70,-12.10,33.60,23.30,-14.90,15.20
NasdaqGS:GILT,Ordinary Shares,Gilat Satellite Networks Ltd.,Active,Nasdaq Global Select (NasdaqGS), 9.85 ,Common Stock,0000897322,Communications Equipment (Primary); Communications Equipment (Primary); Information Technology (Primary); Satellite and Microwave Equipment (Primary); Technology Hardware and Equipment (Primary); Aerospace and Defense; Aerospace and Defense; Alternative Carriers; Broadband Telecommunications Services; Capital Goods; Communication Services; Construction and Engineering; Construction and Engineering; Defense Electronics; Diversified Telecommunication Services; Heavy Construction; Industrials; Information Technology (IT) Consulting; Infrastructure Services; Internet Services and Infrastructure; IT Consulting and Other Services; IT Services; Networking Services; Satellite Communication Services; Software and Services; Telecommunication Services,43.50,28.00,-70.90,73.10,-8.13,-21.00,44.10,-6.90,-7.04,-20.40,34.20,66.50,4.72,8.87,81.70
NasdaqCM:SPRT,Common Stock,Support.com Inc.,Active,Nasdaq Capital Market (NasdaqCM), 3.68 ,Common Stock,0001104855,Application Hosting Services (Primary); Application Software (Primary); Information Technology (Primary); Software (Primary); Software and Services (Primary); Information Technology (IT) Consulting; IT Consulting and Other Services; IT Services; Security Software; Services Outsourcing; Systems Software; Systems Support; Virus Protection Software,43.30,-41.10,-50.40,73.60,77.80,-38.50,20.30,-36.80,-31.90,-54.80,-6.82,21.30,-9.54,-8.17,92.90
NasdaqCM:CVV,Common Stock,CVD Equipment Corporation,Active,Nasdaq Capital Market (NasdaqCM), 4.16 ,Common Stock,0000766792,Back-End Equipment (Primary); Deposition Equipment (Primary); Etching and Cleaning Tools (Primary); Front-End Equipment (Primary); Information Technology (Primary); Semiconductor Equipment (Primary); Semiconductor Handling Assembly and Packaging Equipment (Primary); Semiconductor Manufacturing Machinery (Primary); Semiconductors and Semiconductor Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Electronic Components; Electronic Components; Electronic Equipment and Instruments; Electronic Equipment Instruments and Components; Technology Hardware and Equipment,43.20,-41.60,-23.50,62.00,164.20,3.74,-8.20,45.20,-3.51,-40.50,17.60,-12.40,-52.70,-5.80,38.50
NYSE:DE,Common Shares,Deere & Company,Active,New York Stock Exchange (NYSE), 376.27 ,Common Stock,0000315189,Agricultural and Farm Machinery (Primary); Agricultural Machinery and Equipment (Primary); Capital Goods (Primary); Farm Conveyors Elevators Stackers and Bale Throwers (Primary); Farming Machinery and Equipment (Primary); Industrials (Primary); Machinery (Primary); Tractors (Primary); Automobile Manufacturers; Automobiles; Automobiles and Components; Business Credit Agencies; Construction Machinery and Equipment; Construction Machinery and Heavy Trucks; Consumer Discretionary; Consumer Durables and Apparel; Credit Agencies; Diversified Financial Services; Diversified Financials; Dump Truck Lifting Mechanisms; Financials; Heavy Duty Trucks; Household Appliances; Household Durables; Industrial Machinery; Industrial Trucks and Trailers; Lawn and Garden Equipment; Light Truck and Sport Utility Vehicles (SUVs); Material Handling Machinery and Equipment; Specialized Finance,43.10,59.70,-67.10,117.60,55.60,-4.83,8.21,0.12,8.25,-7.92,41.10,43.70,6.11,-2.41,133.70
NYSE:CNP,Common Stock,CenterPoint Energy Inc.,Active,New York Stock Exchange (NYSE), 24.13 ,Common Stock,0001130310,Multi-Utilities (Primary); Multi-Utilities (Primary); Utilities (Primary); Utilities (Primary); Capital Goods; Consumer Discretionary; Consumer Repair Services; Consumer Services; Diversified Consumer Services; Electric Power Distribution; Electric Power Transmission and Control; Electric Utilities; Electric Utilities; Energy; Energy; Gas Utilities; Gas Utilities; Industrial Heating Ventilation Air Conditioning and Refrigeration Equipment Distribution; Industrials; Machinery Distribution; Natural Gas Pipelines; Oil and Gas Distribution; Oil and Gas Refining and Marketing; Oil and Gas Storage and Transportation; Oil Gas and Consumable Fuels; Specialized Consumer Services; Trading Companies and Distributors; Trading Companies and Distributors,43.00,-14.50,-25.90,40.30,21.00,29.00,15.70,13.90,-8.48,-5.26,55.10,0.25,17.50,-20.40,-12.30
NYSE:IHG,SPON ADR EACH REPR 1 ORD(POST SPLIT),InterContinental Hotels Group PLC,Active,New York Stock Exchange (NYSE), 71.97 ,Depository Receipt (Common Stock),0000858446; 0001259446,Consumer Discretionary (Primary); Consumer Services (Primary); Hotels (Primary); Hotels And Motels (Primary); Hotels Resorts and Cruise Lines (Primary); Hotels Restaurants and Leisure (Primary); Lodging (Primary); Resorts (Primary); Beauty Care Services; Diversified Consumer Services; Diversified Financial Services; Diversified Financials; Financials; Investment Services and Holding Companies; Multi-Sector Holdings; Patent Owners and Lessors; Restaurants; Spas; Specialized Consumer Services,42.80,-33.60,-35.50,104.90,42.60,13.50,38.00,6.33,38.70,6.00,42.80,19.50,2.65,-4.54,17.90
NasdaqGS:ISSC,Common Stock,Innovative Solutions and Support Inc.,Active,Nasdaq Global Select (NasdaqGS), 6.24 ,Common Stock,0000836690,Aerospace and Defense (Primary); Aerospace and Defense (Primary); Aircraft Systems Components and Equipment (Primary); Capital Goods (Primary); Defense Electronics (Primary); Industrials (Primary),42.80,-55.00,-31.20,-18.40,44.30,-28.60,51.80,69.30,-46.90,-38.90,23.00,1.27,-1.88,78.30,35.00
NasdaqGS:TILE,Common Stock,Interface Inc.,Active,Nasdaq Global Select (NasdaqGS), 12.58 ,Common Stock,0000715787,Commercial and Professional Services (Primary); Commercial Services and Supplies (Primary); Industrials (Primary); Office Furnishings and Equipment (Primary); Office Services and Supplies (Primary); Building Products; Building Products; Capital Goods; Carpets and Rugs; Chemical Distribution; Chemicals; Consumer Discretionary; Consumer Durables and Apparel; Diversified Support Services; Floor Coverings; Flooring; Home Furnishings; Household Durables; Internet and Direct Marketing Retail; Internet and Direct Marketing Retail; Materials; Materials; Online Home Furnishing Retail; Online Specialty Retail; Retailing; Rubber Resilient Floor Covering; Specialty Chemicals; Trading Companies and Distributors; Trading Companies and Distributors,42.70,5.24,-86.50,309.90,78.70,-25.60,52.50,6.38,5.68,-19.80,20.60,28.80,-25.00,-17.50,-10.00
NasdaqCM:MNTX,Common Stock,Manitex International Inc.,Active,Nasdaq Capital Market (NasdaqCM), 8.16 ,Common Stock,0001302028,Capital Goods (Primary); Construction Machinery and Heavy Trucks (Primary); Heavy Duty Trucks (Primary); Industrial Trucks and Trailers (Primary); Industrials (Primary); Machinery (Primary); Overhead Traveling Cranes Hoists and Monorail Systems (Primary); Construction Machinery Distribution; Machinery Distribution; Material Handling Machinery Distribution; Trading Companies and Distributors; Trading Companies and Distributors,42.70,-12.60,-85.40,177.50,127.00,27.00,54.80,51.30,-21.60,-54.70,49.10,29.10,-23.60,-27.50,42.20
AMEX:SEB,Common Shares,Seaboard Corporation,Active,NYSE MKT LLC (AMEX)," 3,681.0 ",Common Stock,0000088121,Cane Sugar (Primary); Consumer Staples (Primary); Food Products (Primary); Food Beverage and Tobacco (Primary); Grain Mill Products (Primary); Hogs (Primary); Livestock And Animal Specialties (Primary); Meat Processing (Primary); Meat Products (Primary); Meats Meat Processing And Meat Related Products (Primary); Packaged Foods and Meats (Primary); Specialty Meat Products (Primary); Sugar (Primary); Sweeteners (Primary); Turkey (Primary); Agricultural Products; Alcohol; Cargo or Container Ships; Chemicals; Commercial and Professional Services; Commercial Services and Supplies; Commodity Chemicals; Diversified Support Services; Energy; Energy; Food and Staples Retailing; Food and Staples Retailing; Food Distribution; Food Distributors; Fruits Vegetables and Nuts; Independent Power and Renewable Electricity Producers; Independent Power Producers and Energy Traders; Industrial Organic Chemicals; Industrials; Marine; Marine; Marine Ports and Services; Marine Transportation Of Freight; Materials; Materials; Oil and Gas Refining and Marketing; Oil and Gas Refining and Marketing; Oil Gas and Consumable Fuels; Peppers; Transportation; Transportation Infrastructure; Utilities; Utilities; Vegetables; Warehousing and Storage,42.70,-24.60,-44.50,48.20,74.30,-15.60,48.90,-10.20,58.20,-25.50,27.70,6.59,-3.76,-12.20,-4.26
NasdaqGS:ANDE,Common Shares,The Andersons Inc.,Active,Nasdaq Global Select (NasdaqGS), 28.0 ,Common Stock,0000821026,Consumer Staples (Primary); Food and Staples Retailing (Primary); Food and Staples Retailing (Primary); Food Distribution (Primary); Food Distributors (Primary); Agricultural Services; Alcoholic Beverage and Tobacco Distribution; Alcoholic Beverage Distribution; Capital Goods; Chemicals; Commercial and Professional Services; Commercial Services and Supplies; Consumer Discretionary; Consumer Services; Crop Services; Distributors; Distributors; Diversified Consumer Services; Diversified Metals and Mining; Diversified Support Services; Environmental and Facilities Services; Fabricated Structural Metal Products; Farm Product Warehousing and Storage; Fertilizers and Agricultural Chemicals; General Management Services; Highways and Railtracks; Industrials; Materials; Materials; Metals and Mining; Motor Vehicle Rental and Leasing; Motor Vehicle Repair and Services; Non-Durable Goods Distribution; Office Services and Supplies; Retailing; Road and Rail; Specialized Consumer Services; Specialty Chemicals; Specialty Retail; Specialty Stores; Trading Companies and Distributors; Trading Companies and Distributors; Transportation; Transportation Infrastructure; Trucking; Warehousing and Storage,42.60,10.10,-73.00,168.90,47.50,-8.39,13.80,71.20,-18.60,-36.80,49.30,-10.90,7.34,-49.30,51.70
NasdaqGS:SEIC,Common Stock,SEI Investments Company,Active,Nasdaq Global Select (NasdaqGS), 57.85 ,Common Stock,0000350894,Asset Management and Custody Banks (Primary); Capital Markets (Primary); Diversified Financials (Primary); Financials (Primary); Institutional Investment Advice (Primary); Investment Advice (Primary); Personal Investment Advice (Primary),42.40,-16.20,-52.30,50.90,28.20,-10.30,46.40,20.30,29.90,-6.25,30.00,41.80,-25.80,4.60,7.44
NYSE:KIM,Common Stock,Kimco Realty Corporation,Active,New York Stock Exchange (NYSE), 20.37 ,Common Stock,0000879101,Equity Real Estate Investment Trusts (REITs) (Primary); Real Estate (Primary); Real Estate (Primary); Retail REITs (Primary); Asset Management and Custody Banks; Capital Markets; Diversified Financials; Financials,42.10,-29.60,-72.20,72.20,37.70,5.54,21.40,6.38,22.90,8.37,-9.99,-32.50,22.80,6.05,12.30
NYSE:KIM.PRM,5.25% DEP SHS M,Kimco Realty Corporation,Active,New York Stock Exchange (NYSE), 26.83 ,Preferred Stock,0000879101,Equity Real Estate Investment Trusts (REITs) (Primary); Real Estate (Primary); Real Estate (Primary); Retail REITs (Primary); Asset Management and Custody Banks; Capital Markets; Diversified Financials; Financials,42.10,-29.60,-72.20,72.20,37.70,5.54,21.40,6.38,22.90,8.37,-9.99,-32.50,22.80,6.05,12.30
NasdaqGS:CSWC,Common Stock,Capital Southwest Corporation,Active,Nasdaq Global Select (NasdaqGS), 23.76 ,Common Stock; Closed End Fund,0000017313,Asset Management and Custody Banks (Primary); Business Development Company (Primary); Capital Markets (Primary); Diversified Financials (Primary); Financials (Primary); Investment Company and Business Development Companies (Primary),42.00,-20.10,-38.50,35.10,12.80,-4.37,63.60,13.90,41.20,-71.40,21.90,12.20,38.70,-3.88,40.50
NasdaqCM:OPRX,Common Shares,OptimizeRx Corporation,Active,Nasdaq Capital Market (NasdaqCM), 50.34 ,Common Stock,0001448431,Health Care (Primary); Health Care Equipment and Services (Primary); Health Care Technology (Primary); Health Care Technology (Primary); Health Care Providers and Services; Health Care Services,41.80,-99.00,3.75,-57.80,-42.90,20.00,-10.80,72.90,-24.30,-26.40,-32.00,128.60,200.30,-42.10,613.20
AMEX:INS,Common Stock,Intelligent Systems Corporation,Active,NYSE MKT LLC (AMEX), 38.39 ,Common Stock,0000320340,Application Software (Primary); Enterprise Software (Primary); Financial Services Software (Primary); Industry Specific Software (Primary); Information Technology (Primary); Software (Primary); Software and Services (Primary),41.80,-18.40,-72.60,41.20,43.30,-7.55,-23.90,100.80,-15.20,49.20,63.00,11.80,260.20,102.40,13.10
NasdaqCM:ELSE,Common Stock,Electro-Sensors Inc.,Active,Nasdaq Capital Market (NasdaqCM), 4.55 ,Common Stock,0000351789,Electronic Equipment and Instruments (Primary); Electronic Equipment Instruments and Components (Primary); Information Technology (Primary); Measuring Analyzing and Controlling Instruments (Primary); Technology Hardware and Equipment (Primary); Application Software; Enterprise Software; Industry Specific Software; Software; Software and Services,41.80,3.33,-56.40,80.50,26.40,-6.52,3.21,1.73,2.50,-16.80,12.90,4.42,-16.40,8.93,53.30
NYSE:SXT,Common Stock,Sensient Technologies Corporation,Active,New York Stock Exchange (NYSE), 84.95 ,Common Stock,0000310142,Chemicals (Primary); Materials (Primary); Materials (Primary); Specialty Chemicals (Primary); Agricultural Products; Beverages; Consumer Staples; Dehydrated Vegetables; Drink Mixes; Flavoring Extracts; Food Products; Food Beverage and Tobacco; Fruits Vegetables and Nuts; Health Care; Medicinal Chemicals and Botanical Products; Pharmaceuticals; Pharmaceuticals; Pharmaceuticals Biotechnology and Life Sciences; Soft Drinks; Vegetables,41.80,12.00,-22.90,40.30,23.20,14.00,1.98,46.00,23.50,-6.29,40.50,-10.90,-5.96,-23.10,63.40
NYSE:VALE,SPONS ADR REPR 1 COM NPV,Vale S.A.,Active,New York Stock Exchange (NYSE), 19.66 ,Depository Receipt (Common Stock),0000915754; 0000917851; 0001168343,Ferroalloy Ores (Primary); Iron Ores (Primary); Materials (Primary); Materials (Primary); Metallurgical (Coking) Coal Mining (Primary); Metals and Mining (Primary); Steel (Primary); Steel Works Blast Furnaces And Finishing Mills (Primary); Air Freight and Logistics; Air Freight and Logistics; Coal and Consumable Fuels; Copper; Copper Ores; Diversified Metal Ores; Diversified Metals and Mining; Energy; Energy; Gold; Gold Ores; Industrials; Nickel Ores; Oil Gas and Consumable Fuels; Platinum Ores; Precious Metal Ores; Precious Metals and Minerals; Silver; Silver Ores; Transportation,41.70,68.20,-45.60,69.40,10.90,-15.60,-11.70,-5.31,-31.30,-36.50,160.50,40.00,9.41,-2.69,131.80
AMEX:PLM,Common Shares,PolyMet Mining Corp.,Active,NYSE MKT LLC (AMEX), 2.83 ,Common Stock,0000866028,Diversified Metal Ores (Primary); Diversified Metals and Mining (Primary); Materials (Primary); Materials (Primary); Metals and Mining (Primary); Nickel Ores (Primary); Copper; Copper Ores; Gold; Gold Ores; Palladium Ores; Platinum Ores; Precious Metal Ores; Precious Metals and Minerals; Silver; Silver Ores,41.70,2.35,-76.40,208.50,-16.20,-41.00,-4.80,5.04,10.40,-13.00,-11.70,47.20,-41.70,-45.10,15.40
NYSE:OKE,Common Stock,ONEOK Inc.,Active,New York Stock Exchange (NYSE), 50.6 ,Common Stock,0000074154; 0001039684,Energy (Primary); Energy (Primary); Natural Gas Pipelines (Primary); Oil and Gas Storage and Transportation (Primary); Oil Gas and Consumable Fuels (Primary); Consumer Discretionary; Consumer Services; Diversified Consumer Services; Gas Utilities; Gas Utilities; Motor Vehicle Parking; Motor Vehicle Repair and Services; Motor Vehicle Services; Natural Gas Transmission; Nonresidential Building Operators and Lessors; Office Building Operators and Lessors; Oil and Gas Distribution; Oil and Gas Refining and Marketing; Oil and Gas Refining and Marketing; Petroleum and Petroleum Products; Real Estate; Real Estate; Real Estate Management and Development; Real Estate Operating Companies; Real Estate Operators And Lessors; Specialized Consumer Services; Utilities; Utilities,41.70,13.80,-49.90,112.80,45.60,34.00,11.30,55.60,-22.00,-41.20,141.60,7.44,22.90,6.55,-19.90
NYSE:PHI,ADR EACH REP 1 ORD SHS,PLDT Inc.,Active,New York Stock Exchange (NYSE), 26.68 ,Depository Receipt (Common Stock),0000078150,Cellular Services (Primary); Communication Services (Primary); Telecommunication Services (Primary); Wireless Telecommunication Services (Primary); Wireless Telecommunication Services (Primary); Airlines; Airlines; Alternative Carriers; Broadband Telecommunications Services; Communications Equipment Distribution; Development Consulting; Diversified Telecommunication Services; Electronic Equipment Instruments and Components; Industrials; Information Technology; Information Technology (IT) Consulting; Infrastructure Services; Integrated Telecommunication Services; Internet Services and Infrastructure; IT Consulting and Other Services; IT Services; Services Outsourcing; Software and Services; Technology Distributors; Technology Hardware and Equipment; Transportation,41.60,28.00,-19.90,34.40,-12.30,46.90,8.74,-1.61,25.00,-41.50,-15.40,15.30,-30.10,2.43,40.10
NYSE:MTD,Common Stock,Mettler-Toledo International Inc.,Active,New York Stock Exchange (NYSE)," 1,335.15 ",Common Stock,0001019982; 0001037646,Health Care (Primary); Life Sciences Tools and Services (Primary); Life Sciences Tools and Services (Primary); Pharmaceuticals Biotechnology and Life Sciences (Primary); Application Software; Electronic Equipment and Instruments; Electronic Equipment Instruments and Components; Enterprise Software; Health Care Equipment; Health Care Equipment and Services; Health Care Equipment and Supplies; Health Care Technology; Health Care Technology; Healthcare Industry Software; Industry Specific Software; Information Technology; Laboratory Apparatus; Measuring Analyzing and Controlling Instruments; Medical Testing Analyzing and Diagnostic Equipment; Precision Measuring Devices; Scales and Balances; Software; Software and Services; Technology Hardware and Equipment,41.50,13.80,-45.40,92.50,66.80,7.01,15.30,16.40,27.80,4.85,46.80,23.30,17.20,0.42,61.70
NYSE:SHG,SPONS ADR EACH REP 1 ORD KRW5000,Shinhan Financial Group Co. Ltd.,Active,New York Stock Exchange (NYSE), 33.95 ,Depository Receipt (Common Stock),0001263043,Banks (Primary); Banks (Primary); Diversified Banks (Primary); Diversified Commercial Banks (Primary); Financials (Primary); Asset Management and Custody Banks; Capital Markets; Commercial and Professional Services; Commercial Services and Supplies; Debt Collection Services; Debt Management Services; Diversified Financial Services; Diversified Financials; Industrials; Insurance; Insurance; Investment Banking; Investment Banking and Brokerage; Investment Funds; Life and Health Insurance; Life Insurance; Merger and Acquisition Advisory Services; Office Services and Supplies; Private Equity; Securities and Commodities Markets Services; Security Brokers; Security Brokers and Dealers; Specialized Finance,41.50,0.12,-53.20,79.50,15.30,-6.36,0.30,5.67,0.32,-10.50,26.90,4.48,-4.10,-22.90,6.79
NasdaqGS:ON,Common Stock,ON Semiconductor Corporation,Active,Nasdaq Global Select (NasdaqGS), 42.55 ,Common Stock,0001097864,Analog and Mixed Signal (Primary); Digital (Primary); Information Technology (Primary); Semiconductors (Primary); Semiconductors and Semiconductor Equipment (Primary); Semiconductors and Semiconductor Equipment (Primary); Electronic Components; Electronic Components; Electronic Equipment Instruments and Components; Technology Hardware and Equipment,41.30,-38.50,-39.00,124.00,33.70,-17.50,-12.80,18.50,36.50,-32.20,77.20,55.60,-9.18,-13.90,126.50
NasdaqGS:CNOB,Common Stock,ConnectOne Bancorp Inc.,Active,Nasdaq Global Select (NasdaqGS), 27.13 ,Common Stock,0000712771,Banks (Primary); Banks (Primary); Financials (Primary); National and State Commercial Banks (Primary); Regional Banks (Primary); State Commercial Banks (Primary); Diversified Financial Services; Diversified Financials; Holding Companies; Insurance; Insurance; Insurance Brokers; Investment Services and Holding Companies; Multi-Sector Holdings; Offices Of Bank Holding Companies,41.20,-23.60,-27.20,12.10,8.41,7.09,32.10,51.50,-0.30,-11.50,64.50,14.00,-23.40,-2.70,18.00
NYSE:IBN,ADR EACH REPR 2 ORD INR10(SPON),ICICI Bank Limited,Active,New York Stock Exchange (NYSE), 15.08 ,Depository Receipt (Common Stock),0001092947; 0001103838,Banks (Primary); Banks (Primary); Diversified Banks (Primary); Diversified Commercial Banks (Primary); Financials (Primary); Asset Management and Custody Banks; Capital Markets; Diversified Financials; Homeowner's and Renter's Insurance; Insurance; Insurance; Investment Banking; Investment Banking and Brokerage; Life and Health Insurance; Life Insurance; Motor Vehicle Insurance; Personal Property Insurance; Property; Property and Casualty Insurance; Securities and Commodities Markets Services; Security Brokers and Dealers,41.10,28.70,-69.40,170.20,19.40,-12.80,22.00,0.47,63.10,-37.80,39.00,21.00,16.70,40.70,22.30
NYSE:CBRE,Class A Common Stock,CBRE Group Inc.,Active,New York Stock Exchange (NYSE), 82.9 ,Common Stock,0001138118,Real Estate (Primary); Real Estate (Primary); Real Estate Agents And Brokers (Primary); Real Estate Management and Development (Primary); Real Estate Services (Primary); Asset Management and Custody Banks; Banks; Capital Markets; Diversified Financials; Financials; Mortgage Bankers and Loan Correspondents; Real Estate Development; Real Estate Management Services; Real Estate Operating Companies; Real Estate Operators And Lessors; Thrifts and Mortgage Finance; Thrifts and Mortgage Finance,41.00,-40.40,-85.60,370.60,80.80,-23.90,30.20,14.70,22.60,-22.10,35.40,28.30,7.05,13.00,38.10
NasdaqCM:WILC,Ordinary Shares,G. Willi-Food International Ltd.,Active,Nasdaq Capital Market (NasdaqCM), 22.83 ,Common Stock,0001030997,Beverage Distribution (Primary); Consumer Staples (Primary); Food and Staples Retailing (Primary); Food and Staples Retailing (Primary); Food Distribution (Primary); Food Distributors (Primary); Groceries and Related Product Distribution (Primary),41.00,-8.23,-79.10,380.50,7.25,-32.30,20.60,32.20,-22.10,-,-,12.90,16.90,58.90,83.80
